Class,Accuracy (%)
apple,61.0
aquarium_fish,56.0
baby,23.0
bear,17.0
beaver,5.0
bed,32.0
bee,46.0
beetle,18.0
bicycle,62.0
bottle,63.0
bowl,29.0
boy,20.0
bridge,52.0
bus,15.0
butterfly,37.0
camel,23.0
can,48.0
castle,73.0
caterpillar,41.0
cattle,35.0
chair,78.0
chimpanzee,50.0
clock,32.0
cloud,54.0
cockroach,65.0
couch,26.0
crab,17.0
crocodile,16.0
cup,61.0
dinosaur,47.0
dolphin,33.0
elephant,42.0
flatfish,16.0
forest,43.0
fox,14.0
girl,4.0
hamster,28.0
house,30.0
kangaroo,24.0
keyboard,66.0
lamp,36.0
lawn_mower,66.0
leopard,48.0
lion,35.0
lizard,22.0
lobster,19.0
man,33.0
maple_tree,58.0
motorcycle,80.0
mountain,72.0
mouse,22.0
mushroom,24.0
oak_tree,65.0
orange,74.0
orchid,60.0
otter,5.0
palm_tree,67.0
pear,43.0
pickup_truck,63.0
pine_tree,22.0
plain,82.0
plate,53.0
poppy,42.0
porcupine,44.0
possum,9.0
rabbit,18.0
raccoon,21.0
ray,33.0
road,83.0
rocket,70.0
rose,27.0
sea,59.0
seal,8.0
shark,44.0
shrew,16.0
skunk,74.0
skyscraper,73.0
snail,33.0
snake,27.0
spider,38.0
squirrel,16.0
streetcar,70.0
sunflower,79.0
sweet_pepper,41.0
table,29.0
tank,51.0
telephone,47.0
television,55.0
tiger,38.0
tractor,44.0
train,14.0
trout,65.0
tulip,5.0
turtle,3.0
wardrobe,84.0
whale,45.0
willow_tree,42.0
wolf,49.0
woman,18.0
worm,49.0

Overall Accuracy,41.14
