Class,Accuracy (%)
apple,79.0
aquarium_fish,66.0
baby,9.0
bear,23.0
beaver,28.0
bed,51.0
bee,41.0
beetle,27.0
bicycle,76.0
bottle,59.0
bowl,30.0
boy,34.0
bridge,44.0
bus,45.0
butterfly,47.0
camel,31.0
can,62.0
castle,71.0
caterpillar,53.0
cattle,50.0
chair,77.0
chimpanzee,85.0
clock,44.0
cloud,70.0
cockroach,63.0
couch,26.0
crab,30.0
crocodile,25.0
cup,78.0
dinosaur,34.0
dolphin,38.0
elephant,58.0
flatfish,23.0
forest,45.0
fox,47.0
girl,55.0
hamster,63.0
house,45.0
kangaroo,49.0
keyboard,63.0
lamp,29.0
lawn_mower,70.0
leopard,45.0
lion,51.0
lizard,24.0
lobster,39.0
man,20.0
maple_tree,75.0
motorcycle,73.0
mountain,69.0
mouse,14.0
mushroom,38.0
oak_tree,61.0
orange,63.0
orchid,56.0
otter,14.0
palm_tree,80.0
pear,69.0
pickup_truck,61.0
pine_tree,33.0
plain,69.0
plate,48.0
poppy,70.0
porcupine,32.0
possum,22.0
rabbit,9.0
raccoon,48.0
ray,29.0
road,86.0
rocket,73.0
rose,46.0
sea,77.0
seal,5.0
shark,69.0
shrew,27.0
skunk,71.0
skyscraper,81.0
snail,45.0
snake,32.0
spider,48.0
squirrel,10.0
streetcar,44.0
sunflower,81.0
sweet_pepper,50.0
table,29.0
tank,68.0
telephone,36.0
television,56.0
tiger,77.0
tractor,66.0
train,46.0
trout,71.0
tulip,11.0
turtle,24.0
wardrobe,91.0
whale,53.0
willow_tree,30.0
wolf,52.0
woman,15.0
worm,48.0

Overall Accuracy,48.73
